Stock Symbol,Bull Harami Count,Bull Harami Dates,Call Target Hits Count,Call closed for Intraday Count,Call Avg %,Call StopLoss Hits Count,Call Targets Hit Dates,Call SL Hit Dates,Call Closed Dates,No Trades Taken Count,Net Call Returns,Starting Date,Last Date,Number of days run
20MICRONS,23,"[Timestamp('2022-12-05 09:35:00'), Timestamp('2022-12-06 13:10:00'), Timestamp('2022-12-09 09:20:00'), Timestamp('2022-12-13 09:20:00'), Timestamp('2022-12-15 09:30:00'), Timestamp('2022-12-22 11:30:00'), Timestamp('2022-12-23 13:40:00'), Timestamp('2022-12-26 10:55:00'), Timestamp('2022-12-27 11:40:00'), Timestamp('2022-12-27 14:25:00'), Timestamp('2022-12-28 12:20:00'), Timestamp('2022-12-30 09:30:00'), Timestamp('2023-01-03 12:15:00'), Timestamp('2023-01-06 13:25:00'), Timestamp('2023-01-10 10:20:00'), Timestamp('2023-01-12 11:00:00'), Timestamp('2023-01-13 09:45:00'), Timestamp('2023-01-18 10:20:00'), Timestamp('2023-01-19 10:40:00'), Timestamp('2023-01-19 15:15:00'), Timestamp('2023-01-20 12:35:00'), Timestamp('2023-01-25 09:20:00'), Timestamp('2023-01-25 12:45:00')]",0,0,0,0,[],[],[],41,0.0,2022-12-05,2023-01-31,41
21STCENMGM,0,[],0,0,0,0,[],[],[],5,0.0,2022-12-05,2022-12-12,5
3MINDIA,30,"[Timestamp('2022-12-05 13:50:00'), Timestamp('2022-12-06 11:30:00'), Timestamp('2022-12-07 09:30:00'), Timestamp('2022-12-08 14:55:00'), Timestamp('2022-12-12 10:05:00'), Timestamp('2022-12-13 15:15:00'), Timestamp('2022-12-21 13:10:00'), Timestamp('2022-12-22 14:25:00'), Timestamp('2022-12-23 13:35:00'), Timestamp('2022-12-27 12:40:00'), Timestamp('2022-12-28 10:30:00'), Timestamp('2022-12-29 13:10:00'), Timestamp('2022-12-30 09:20:00'), Timestamp('2022-12-30 10:15:00'), Timestamp('2022-12-30 12:25:00'), Timestamp('2023-01-02 09:15:00'), Timestamp('2023-01-02 11:20:00'), Timestamp('2023-01-03 10:05:00'), Timestamp('2023-01-03 12:45:00'), Timestamp('2023-01-05 09:55:00'), Timestamp('2023-01-09 13:40:00'), Timestamp('2023-01-11 11:30:00'), Timestamp('2023-01-11 14:40:00'), Timestamp('2023-01-11 15:10:00'), Timestamp('2023-01-12 10:50:00'), Timestamp('2023-01-12 11:00:00'), Timestamp('2023-01-16 10:25:00'), Timestamp('2023-01-18 15:10:00'), Timestamp('2023-01-19 09:15:00'), Timestamp('2023-01-27 13:05:00')]",0,0,0,0,[],[],[],41,0.0,2022-12-05,2023-01-31,41
3PLAND,0,[],0,0,0,0,[],[],[],4,0.0,2022-12-05,2022-12-09,4
5PAISA,23,"[Timestamp('2022-12-05 12:30:00'), Timestamp('2022-12-05 13:10:00'), Timestamp('2022-12-06 10:05:00'), Timestamp('2022-12-06 10:20:00'), Timestamp('2022-12-08 09:15:00'), Timestamp('2022-12-08 10:55:00'), Timestamp('2022-12-08 14:05:00'), Timestamp('2022-12-09 14:35:00'), Timestamp('2022-12-16 09:45:00'), Timestamp('2022-12-19 11:50:00'), Timestamp('2022-12-21 13:35:00'), Timestamp('2022-12-21 14:00:00'), Timestamp('2022-12-22 12:50:00'), Timestamp('2023-01-02 09:35:00'), Timestamp('2023-01-02 12:50:00'), Timestamp('2023-01-03 10:55:00'), Timestamp('2023-01-03 12:05:00'), Timestamp('2023-01-11 14:45:00'), Timestamp('2023-01-16 09:35:00'), Timestamp('2023-01-19 13:30:00'), Timestamp('2023-01-19 14:00:00'), Timestamp('2023-01-27 13:45:00'), Timestamp('2023-01-30 09:15:00')]",0,0,0,0,[],[],[],41,0.0,2022-12-05,2023-01-31,41
63MOONS,31,"[Timestamp('2022-12-06 12:55:00'), Timestamp('2022-12-07 10:20:00'), Timestamp('2022-12-08 13:10:00'), Timestamp('2022-12-09 13:35:00'), Timestamp('2022-12-12 14:05:00'), Timestamp('2022-12-20 10:35:00'), Timestamp('2022-12-20 13:20:00'), Timestamp('2022-12-21 14:15:00'), Timestamp('2022-12-22 10:25:00'), Timestamp('2022-12-22 12:25:00'), Timestamp('2022-12-22 14:10:00'), Timestamp('2022-12-23 09:45:00'), Timestamp('2022-12-23 10:15:00'), Timestamp('2022-12-23 14:20:00'), Timestamp('2022-12-29 09:40:00'), Timestamp('2022-12-29 11:35:00'), Timestamp('2022-12-29 14:20:00'), Timestamp('2022-12-30 15:00:00'), Timestamp('2023-01-03 09:40:00'), Timestamp('2023-01-09 09:50:00'), Timestamp('2023-01-09 14:55:00'), Timestamp('2023-01-11 11:40:00'), Timestamp('2023-01-11 13:45:00'), Timestamp('2023-01-12 10:00:00'), Timestamp('2023-01-16 14:20:00'), Timestamp('2023-01-19 10:05:00'), Timestamp('2023-01-20 13:30:00'), Timestamp('2023-01-23 14:20:00'), Timestamp('2023-01-24 09:55:00'), Timestamp('2023-01-27 12:45:00'), Timestamp('2023-01-30 09:15:00')]",0,0,0,0,[],[],[],41,0.0,2022-12-05,2023-01-31,41
A2ZINFRA,1,[Timestamp('2023-01-30 11:00:00')],0,0,0,0,[],[],[],41,0.0,2022-12-05,2023-01-31,41
AARTIDRUGS,27,"[Timestamp('2022-12-07 14:35:00'), Timestamp('2022-12-12 10:25:00'), Timestamp('2022-12-20 14:45:00'), Timestamp('2022-12-27 14:25:00'), Timestamp('2022-12-27 14:50:00'), Timestamp('2022-12-28 10:00:00'), Timestamp('2022-12-28 12:40:00'), Timestamp('2022-12-28 12:50:00'), Timestamp('2022-12-29 13:25:00'), Timestamp('2023-01-03 10:15:00'), Timestamp('2023-01-04 09:35:00'), Timestamp('2023-01-04 11:30:00'), Timestamp('2023-01-04 13:15:00'), Timestamp('2023-01-09 11:30:00'), Timestamp('2023-01-12 11:15:00'), Timestamp('2023-01-13 09:40:00'), Timestamp('2023-01-18 09:20:00'), Timestamp('2023-01-18 11:25:00'), Timestamp('2023-01-18 12:20:00'), Timestamp('2023-01-18 13:10:00'), Timestamp('2023-01-19 12:30:00'), Timestamp('2023-01-23 09:15:00'), Timestamp('2023-01-23 10:40:00'), Timestamp('2023-01-27 14:00:00'), Timestamp('2023-01-27 14:10:00'), Timestamp('2023-01-30 09:15:00'), Timestamp('2023-01-31 13:25:00')]",0,0,0,0,[],[],[],41,0.0,2022-12-05,2023-01-31,41
AARTIIND,7,"[Timestamp('2022-12-08 09:50:00'), Timestamp('2022-12-22 13:25:00'), Timestamp('2022-12-26 13:20:00'), Timestamp('2022-12-26 14:35:00'), Timestamp('2023-01-05 09:20:00'), Timestamp('2023-01-05 09:40:00'), Timestamp('2023-01-09 14:05:00')]",0,0,0,0,[],[],[],41,0.0,2022-12-05,2023-01-31,41
AARVEEDEN,9,"[Timestamp('2022-12-05 09:15:00'), Timestamp('2022-12-13 09:40:00'), Timestamp('2022-12-19 12:30:00'), Timestamp('2022-12-22 09:35:00'), Timestamp('2023-01-03 14:10:00'), Timestamp('2023-01-09 09:15:00'), Timestamp('2023-01-11 13:55:00'), Timestamp('2023-01-18 10:10:00'), Timestamp('2023-01-23 10:15:00')]",0,0,0,0,[],[],[],41,0.0,2022-12-05,2023-01-31,41
